№;Блок;Состав работ;Статус
1;Главная страница;"10 секций: Hero, Solutions, Benefits, Process, TrustMetrics, интерактивная карта проектов, Partners, FAQ, контактный CTA + анимации";Готово
2;Общая инфраструктура;"Navbar с dropdown-меню, Footer, форма заявки с валидацией и автоформатированием телефона, тёмная/светлая тема, определение региона (RU/BY/KZ) для контактов";Готово
3;Мультиязычность;"3 языка (ru / en / kk), полные словари для всех страниц, автотипографика текстов, middleware для языковых маршрутов";Готово
4;SEO и аналитика;"Metadata, OpenGraph, hreflang, структурированные данные JSON-LD (Organization, FAQ, Breadcrumb), sitemap, robots, manifest, подключение Google Analytics, Яндекс.Метрики и Microsoft Clarity";Готово
5;Страница «Конструкции теплиц»;"4 интерактивные 3D-модели (туннельная, многопролётная, ягодный туннель, бытовой блок) с подсветкой узлов конструкции";Готово
6;Страница «Инженерные системы»;"Категории оборудования, грид-лейауты, фото";Готово
7;Страница «Системы полива»;"Слайдер с миниатюрами, галерея панелей управления, frosted-glass UI";Готово
8;Страница «Оборудование для субстрата»;"Уникальный лейаут, карточки техники с характеристиками";Готово
9;Страница «Торфонабивочное оборудование»;"Лейаут, карточки оборудования, перелинковка с разделом Solutions";Готово
10;Страница «Климатические системы»;"Лейаут, контент, 3 языка, перелинковка";Будет сделано до 15-го
11;Страница «Материалы»;"Лейаут, контент, 3 языка, перелинковка";Будет сделано до 15-го
